FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,ROAD_NM,BULD_NO,LC_LA,LC_LO,ZIP_NO,RDNMADR_NM,LNM_ADDR,UTILIIZA_PRICE,UTILIIZA_CHRGE_PD,OFFM_TY,ACMD_NMPR_CO,MON_OPER_TIME,TUES_OPER_TIME,WED_OPER_TIME,THUR_OPER_TIME,FRI_OPER_TIME,SAT_OPER_TIME,SUN_OPER_TIME,AC_HOLD_AT,CAFE_HOLD_AT,PRINTER_HOLD_AT,PARCEL_SNDNG_POSBL_AT,DOORLOCK_AT,ELECT_OUTLET_AT,FAX_AT,N24H_OPER_AT,N365D_OPER_AT,HEATER_HOLD_AT,PARKNG_POSBL_AT,CMNUSE_LOUNGE_AT,CMNUSE_KITCHEN_AT,WPU_HOLD_AT,ROOFTOP_HOLD_AT,REFRESHMENTS_PROVD_AT,INDVDL_LOCKER_AT,TV_HOLD_AT,WBOARD_HOLD_AT,WIFI_HOLD_AT,BATH_FCLTY_HOLD_AT,WRHS_HOLD_AT,LAST_UPDT_DE
(주)파란 인베스트먼트,경기도,부천시,원미동,,39-1 번지,조마루로385번길,92 번,37.50081646,126.7901822,14558,경기도 부천시 조마루로385번길 92,경기도 부천시 원미동 39-1,,일,독립오피스,20,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,N,Y,20221116
[1인실] 선릉 공유오피스 더공간A,서울특별시,강남구,대치동,,890-41 번지,테헤란로70길,14-10 번,37.50436547,127.0527282,06193,서울특별시 강남구 테헤란로70길 14-10,서울특별시 강남구 대치동 890-41,,월,독립오피스,1,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,20221116
[1인실]선릉 공유오피스 더공간B,서울특별시,강남구,대치동,,890-41 번지,테헤란로70길,14-10 번,37.50438925,127.0527431,06193,서울특별시 강남구 테헤란로70길 14-10,서울특별시 강남구 대치동 890-41,,월,독립오피스,1,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,20221116
[2인] 마이파트너스 강남,서울특별시,강남구,역삼동,,831 번지,강남대로,354 번,37.49464902,127.0297333,06242,서울특별시 강남구 강남대로 354,서울특별시 강남구 역삼동 831,,일,독립오피스,2,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,휴무일,휴무일,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,N,20221116
[2인실]선릉 공유오피스 더공간(월계약),서울특별시,강남구,대치동,,890-41 번지,테헤란로70길,14-10 번,37.50436547,127.0527282,06193,서울특별시 강남구 테헤란로70길 14-10,서울특별시 강남구 대치동 890-41,,월,독립오피스,2,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,20221116
[2인실]선릉 공유오피스 더공간A,서울특별시,강남구,대치동,,890-41 번지,테헤란로70길,14-10 번,37.50436547,127.0527282,06193,서울특별시 강남구 테헤란로70길 14-10,서울특별시 강남구 대치동 890-41,,월,독립오피스,2,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,20221116
[3인실]선릉 공유오피스 더공간B,서울특별시,강남구,대치동,,890-41 번지,테헤란로70길,14-10 번,37.50436547,127.0527282,06193,서울특별시 강남구 테헤란로70길 14-10,서울특별시 강남구 대치동 890-41,,월,독립오피스,3,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,20221116
[3인실]선릉 공유오피스 더공간C,서울특별시,강남구,대치동,,890-41 번지,테헤란로70길,14-10 번,37.50438925,127.0527431,06193,서울특별시 강남구 테헤란로70길 14-10,서울특별시 강남구 대치동 890-41,,월,독립오피스,3,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,20221116
"[4인,내측] 마이파트너스 삼성",서울특별시,강남구,대치동,,999-6 번지,테헤란로108길,25 번,37.50787767,127.0664812,06175,서울특별시 강남구 테헤란로108길 25,서울특별시 강남구 대치동 999-6,,월,독립오피스,4,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,20221116
[5인] 마이파트너스 강남,서울특별시,강남구,역삼동,,831 번지,강남대로,354 번,37.49464902,127.0297333,06242,서울특별시 강남구 강남대로 354,서울특별시 강남구 역삼동 831,,일,독립오피스,5,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,휴무일,휴무일,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,N,20221116
