대분류,중분류,대분류 지출액 비율,중분류 지출액 비율,지역
쇼핑업,관광기념품,20.1,0.8,충청북도
쇼핑업,대형쇼핑몰,20.1,69.6,충청북도
쇼핑업,레저용품쇼핑,20.1,28.8,충청북도
쇼핑업,면세점,20.1,0.8,충청북도
숙박업,기타숙박,3.7,65.9,충청북도
숙박업,캠핑장/펜션,3.7,0.9,충청북도
숙박업,콘도,3.7,25.3,충청북도
숙박업,호텔,3.7,8.0,충청북도
식음료업,식음료,60.7,100.0,충청북도
여가서비스업,골프장,15.3,88.4,충청북도
여가서비스업,관광유원시설,15.3,2.8,충청북도
여가서비스업,기타레저,15.3,5.1,충청북도
여가서비스업,문화서비스,15.3,3.7,충청북도
여행업,여행업,0.0,100.0,충청북도
운송업,렌터카,0.1,16.2,충청북도
운송업,수상운송,0.1,67.1,충청북도
운송업,육상운송,0.1,2.6,충청북도
운송업,항공운송,0.1,14.1,충청북도
쇼핑업,관광기념품,23.0,1.1,경상남도
쇼핑업,대형쇼핑몰,23.0,73.3,경상남도
쇼핑업,레저용품쇼핑,23.0,25.6,경상남도
쇼핑업,면세점,23.0,0.0,경상남도
숙박업,기타숙박,3.8,68.0,경상남도
숙박업,캠핑장/펜션,3.8,2.0,경상남도
숙박업,콘도,3.8,17.5,경상남도
숙박업,호텔,3.8,12.5,경상남도
식음료업,식음료,60.2,100.0,경상남도
여가서비스업,골프장,12.7,85.6,경상남도
여가서비스업,관광유원시설,12.7,2.4,경상남도
여가서비스업,기타레저,12.7,7.8,경상남도
여가서비스업,문화서비스,12.7,4.2,경상남도
여가서비스업,스키장,12.7,0.0,경상남도
여행업,여행업,0.0,100.0,경상남도
운송업,렌터카,0.3,11.5,경상남도
운송업,수상운송,0.3,87.5,경상남도
운송업,육상운송,0.3,1.1,경상남도
쇼핑업,관광기념품,28.8,0.3,대전광역시
쇼핑업,대형쇼핑몰,28.8,92.2,대전광역시
쇼핑업,레저용품쇼핑,28.8,7.6,대전광역시
숙박업,기타숙박,1.3,66.9,대전광역시
숙박업,캠핑장/펜션,1.3,0.0,대전광역시
숙박업,콘도,1.3,0.0,대전광역시
숙박업,호텔,1.3,33.0,대전광역시
식음료업,식음료,34.3,100.0,대전광역시
여가서비스업,골프장,1.6,56.9,대전광역시
여가서비스업,관광유원시설,1.6,6.6,대전광역시
여가서비스업,기타레저,1.6,20.2,대전광역시
여가서비스업,문화서비스,1.6,16.3,대전광역시
여행업,여행업,0.0,100.0,대전광역시
운송업,렌터카,34.1,0.0,대전광역시
운송업,수상운송,34.1,0.0,대전광역시
운송업,육상운송,34.1,100.0,대전광역시
쇼핑업,관광기념품,35.5,0.4,경기도
쇼핑업,대형쇼핑몰,35.5,88.0,경기도
쇼핑업,레저용품쇼핑,35.5,10.9,경기도
쇼핑업,면세점,35.5,0.7,경기도
숙박업,기타숙박,1.7,75.9,경기도
숙박업,캠핑장/펜션,1.7,2.2,경기도
숙박업,콘도,1.7,6.2,경기도
숙박업,호텔,1.7,15.7,경기도
식음료업,식음료,52.4,100.0,경기도
여가서비스업,골프장,9.0,75.4,경기도
여가서비스업,관광유원시설,9.0,2.8,경기도
여가서비스업,기타레저,9.0,10.0,경기도
여가서비스업,문화서비스,9.0,11.5,경기도
여가서비스업,스키장,9.0,0.3,경기도
여행업,여행업,0.0,100.0,경기도
운송업,렌터카,1.3,45.5,경기도
운송업,수상운송,1.3,0.9,경기도
운송업,육상운송,1.3,52.1,경기도
운송업,항공운송,1.3,1.5,경기도
쇼핑업,관광기념품,24.3,14.4,제주특별자치도
쇼핑업,대형쇼핑몰,24.3,12.7,제주특별자치도
쇼핑업,레저용품쇼핑,24.3,15.8,제주특별자치도
쇼핑업,면세점,24.3,57.2,제주특별자치도
숙박업,기타숙박,12.8,35.6,제주특별자치도
숙박업,캠핑장/펜션,12.8,0.5,제주특별자치도
숙박업,콘도,12.8,23.0,제주특별자치도
숙박업,호텔,12.8,40.9,제주특별자치도
식음료업,식음료,45.9,100.0,제주특별자치도
여가서비스업,골프장,10.0,69.3,제주특별자치도
여가서비스업,관광유원시설,10.0,9.8,제주특별자치도
여가서비스업,기타레저,10.0,6.5,제주특별자치도
여가서비스업,문화서비스,10.0,14.3,제주특별자치도
여행업,여행업,0.5,100.0,제주특별자치도
운송업,렌터카,6.5,23.4,제주특별자치도
운송업,수상운송,6.5,7.5,제주특별자치도
운송업,육상운송,6.5,0.3,제주특별자치도
운송업,항공운송,6.5,68.8,제주특별자치도
쇼핑업,관광기념품,11.3,3.3,강원특별자치도
쇼핑업,대형쇼핑몰,11.3,51.5,강원특별자치도
쇼핑업,레저용품쇼핑,11.3,45.2,강원특별자치도
쇼핑업,면세점,11.3,0.0,강원특별자치도
